Number of Rows (Aggregated),CGM_Client,Ad set name,Ad name,Month,Year,Platform,Placement,Device platform,Reach,Impressions,Cost per result,Amount spent (USD),CPC (cost per link click),Link clicks,Clicks (all),CPC (all),"CPM (cost per 1,000 impressions)",CTR (all),Frequency
11,CGM_RISE_UP,"Lookalike (US, 8%) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,video_feeds,mobile_app,243,243,,6.03,2.33,1,1,2.33,231.47,1.2,11
12,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,video_feeds,mobile_app,259,260,0.94,6.96,1.45,5,6,2.2,308.45,24.04,12.02
13,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,desktop,323,330,,14.75,8.95,4,9,11.01,741.07,41.54,13.27
13,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,marketplace,mobile_app,54,55,,1.33,0.16,1,1,0.16,332.39,50,13.33
13,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,mobile_app,537,547,29.045,49.18,28.9,16,28,22.58,1382.76,69.16,13.39
13,CGM_RISE_UP,"Lookalike (US, 8%) - PageView (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,an_classic,mobile_app,483,679,,17.93,5.88,9,8,6.4,334.22,19.9,18.74
15,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,facebook,facebook_stories,mobile_app,57,57,,3.22,0.16,1,1,0.16,704.79,50,15
16,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,facebook_stories,mobile_app,65,65,,3.46,,,0,,657.12,0,16
19,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_explore,mobile_app,50,50,,0.97,,,0,,349.84,0,19
22,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,mobile_web,71,75,,3.79,0.84,4,8,0.76,1227.66,201.9,24
23,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,instagram,instagram_explore,mobile_app,51,51,,1.51,0.03,1,1,0.03,538.32,50,23
23,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,instant_article,mobile_app,69,72,,1.65,0.11,1,3,0.25,475.45,108.33,23.74
23,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,facebook,instant_article,mobile_app,85,90,,1.67,,,1,0.1,459,20,24.75
23,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,instagram_stories,mobile_app,67,67,,2.88,0.06,1,1,0.06,892.03,50,23
24,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,instagram,instagram_stories,mobile_app,87,87,,3.44,0.23,2,2,0.23,1205.57,100,24
25,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,rewarded_video,mobile_app,1546,2094,19.42666667,63.97,20.01,46,45,20.17,1017.54,47.27,31.35
26,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,audience_network,rewarded_video,mobile_app,932,1278,3.28,54.67,15,43,42,15.28,1107.68,104.53,33.68
26,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,desktop,1029,1066,14.09,46.98,15.35,25,32,14.78,1104.57,77.27,26.71
26,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,marketplace,mobile_app,366,387,,8.02,2.51,7,8,2.26,774.48,63.3,26.99
26,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,instagram,feed,mobile_app,983,985,8.3,50.12,28.11,22,20,29.7,1332.84,51.73,26.17
26,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,instream_video,mobile_app,326,336,0.64,12.92,5.77,14,13,5.92,1001.58,204.3,26.36
26,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,audience_network,an_classic,mobile_app,1676,2312,13.93,52.7,13.15,52,50,13.27,613.02,57.05,35.09
26,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,video_feeds,mobile_app,1163,1169,2.67,29.14,10.25,22,36,15.14,624.03,92.86,26.12
26,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,6,2020,facebook,feed,mobile_app,4400,4555,79.07833333,232.76,45.74,130,180,31.46,1322.38,101.2,26.78
27,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,facebook,marketplace,mobile_app,482,504,0.62,16.09,7.57,17,16,7.72,852.25,89.38,27.97
27,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,facebook,instream_video,mobile_app,316,323,0.6,12.94,4.16,11,12,4.14,982.69,132.24,27.54
27,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,facebook,feed,desktop,1438,1533,0.49,57.67,25.76,28,40,21.46,1026.44,60.96,29.03
27,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,audience_network,an_classic,mobile_app,1151,1647,10.93,46.66,10.46,38,38,10.46,920.07,52.11,37.81
27,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,instagram,feed,mobile_app,1199,1205,13.99,65.31,32.48,41,41,32.35,1462.97,80.36,27.09
27,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,facebook,video_feeds,mobile_app,938,970,1.8,26.34,7.32,15,20,11.66,873.37,49.04,27.89
29,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,facebook,feed,mobile_web,359,373,,18.58,8.57,11,27,2.89,1648.64,132.72,29.79
30,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,6,2020,facebook,feed,mobile_app,19039,20573,335.0651984,972.11,47.13,774,1173,34.43,1687.42,162.78,32.1
1,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,facebook,facebook_stories,mobile_app,1,1,,0.02,,,0,,20,0,1
1,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,audience_network,rewarded_video,mobile_app,1,1,,0.02,,,0,,20,0,1
1,CGM_RISE_UP,Norvo Nordisk,CGM Video Ad- Senior,7,2020,audience_network,an_classic,mobile_app,1,1,,0.19,,,0,,190,0,1
1,CGM_RISE_UP,Norvo Nordisk,CGM Video Ad- Senior,7,2020,facebook,instream_video,mobile_app,1,1,,0.01,,,0,,10,0,1
1,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,facebook,instant_article,mobile_app,2,2,,0.02,,,0,,10,0,1
2,CGM_RISE_UP,Norvo Nordisk,CGM Video Ad- Senior,7,2020,instagram,instagram_explore,mobile_app,5,5,,0.01,,,0,,3.33,0,2
2,CGM_RISE_UP,Norvo Nordisk,CGM Video Ad- Senior,7,2020,facebook,video_feeds,mobile_app,8,8,,0.06,,,0,,26.67,0,2
2,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,audience_network,an_classic,mobile_app,3,3,,0.05,,,0,,50,0,2
2,CGM_RISE_UP,Norvo Nordisk,CGM Video Ad- Senior,7,2020,facebook,feed,mobile_web,4,4,,0.09,,,0,,63.33,0,2
2,CGM_RISE_UP,Norvo Nordisk,CGM Video Ad- Senior,7,2020,instagram,instagram_stories,mobile_app,3,3,,0.07,,,0,,45,0,2
2,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,facebook,marketplace,mobile_app,5,7,,0.02,,,0,,5.83,0,4
2,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,messenger,messenger_stories,mobile_app,3,3,,0.42,,,0,,220,0,2
3,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,facebook,search,mobile_app,3,3,,0.05,,,0,,50,0,3
3,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,facebook,feed,desktop,34,37,,0.56,,,1,0.45,28.89,3.7,3.21
3,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,facebook,video_feeds,mobile_app,41,44,,0.32,0.03,1,1,0.03,28.97,16.67,3.1
3,CGM_RISE_UP,Norvo Nordisk,CGM Video Ad- Senior,7,2020,instagram,feed,mobile_app,44,44,,0.73,,,0,,51.11,0,3
3,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,facebook,feed,mobile_app,180,187,,4.5,2.15,5,4,2.37,67.19,4.59,3.08
3,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,facebook,search,mobile_app,3,3,,0.05,,,0,,50,0,3
3,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,facebook,feed,mobile_web,3,3,,0.02,,,0,,20,0,3
3,CGM_RISE_UP,Norvo Nordisk,CGM Video Ad- Senior,7,2020,facebook,feed,desktop,30,33,,0.76,0.18,1,2,0.09,59.38,22.22,3.28
3,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,instagram,feed,mobile_app,54,54,,1.21,,,0,,46.45,0,3
3,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,instagram,instagram_explore,mobile_app,10,10,,0.02,,,0,,3.33,0,3
3,CGM_RISE_UP,Norvo Nordisk,CGM Video Ad- Senior,7,2020,facebook,feed,mobile_app,103,109,,1.93,1.47,1,2,1.9,38.89,4.22,3.1
3,CGM_RISE_UP,"Insulin Manufacturers - Eli Lilly, Novo Nordisk, and Sanofi",CGM Video Ad- Senior,7,2020,instagram,instagram_stories,mobile_app,3,3,,0.11,,,0,,110,0,3
4,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,audience_network,an_classic,desktop,5,6,,0.01,,,0,,10,0,5
5,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,messenger,messenger_stories,mobile_app,7,7,,0.37,,,0,,250,0,5
10,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,facebook,facebook_stories,mobile_app,17,17,,0.59,,,0,,358.34,0,10
10,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,audience_network,rewarded_video,desktop,16,27,,0.15,0.01,1,1,0.01,53.07,25,15.83
11,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,instagram,instagram_stories,mobile_app,31,31,,0.66,0.04,1,1,0.04,228,100,11
12,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,audience_network,rewarded_video,mobile_app,59,68,,2.25,,,0,,441.04,0,13.24
13,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,audience_network,an_classic,mobile_app,79,106,,1.36,0.34,2,2,0.34,164.41,18.33,17.57
13,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,instagram,instagram_explore,mobile_app,37,37,,0.82,,,0,,231.45,0,13
13,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,facebook,instant_article,mobile_app,36,37,,0.68,,,0,,313.17,0,13.11
14,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,facebook,feed,mobile_web,108,108,,5.75,2.41,3,5,2.66,871.11,55,14
14,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,facebook,marketplace,mobile_app,173,185,,3.44,0.4,2,2,0.4,266.59,16.25,14.67
15,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,facebook,instream_video,mobile_app,186,188,0.31,4.29,2.97,8,9,3.13,326.36,73.42,15.17
15,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,facebook,feed,mobile_app,6432,6662,124.7933333,262.07,20.88,195,282,13.51,638.84,66.23,15.52
15,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,facebook,feed,desktop,1090,1127,3.95,34.65,22.41,26,30,19.07,492.84,38.03,15.4
15,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,facebook,video_feeds,mobile_app,621,629,,10.04,4.26,8,13,3.53,316.4,35.28,15.13
15,CGM_RISE_UP,"Lookalike (US, 5%) - Leads (6.04) - Leads (6.04) l | Mid-form Pixel",CGM Video Ad- Senior,7,2020,instagram,feed,mobile_app,546,548,,28.76,15.16,13,13,15.16,1019.79,33.79,15.02
19,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,instagram,instagram_stories,mobile_app,40,40,,2.41,,,0,,1060.83,0,19
19,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,instagram,instagram_explore,mobile_app,47,47,,0.6,0.04,1,1,0.04,252.61,25,19
21,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,facebook,facebook_stories,mobile_app,61,61,0.48,3.66,0.48,1,1,0.48,1294.12,14.29,21
21,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,facebook,instant_article,mobile_app,100,108,,3.46,0.52,2,4,0.69,648.06,78.34,22.32
24,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,audience_network,rewarded_video,mobile_app,348,413,2.67,16.59,9.62,16,16,9.62,1150.8,56.17,31.12
25,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,audience_network,an_classic,mobile_app,482,592,0.35,14.93,4.99,12,12,4.99,744.37,79.71,34.42
25,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,instagram,feed,mobile_app,677,679,2.51,38.43,19.66,22,22,18.77,1556.78,78.19,25.04
25,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,facebook,marketplace,mobile_app,255,269,,8.1,0.43,4,3,0.52,827.76,35.4,26.38
25,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,facebook,instream_video,mobile_app,333,340,,10.56,4.49,11,11,4.49,851.83,71.54,25.45
26,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,facebook,feed,mobile_web,219,224,,11.32,1.11,3,14,3.44,1386.21,148.46,26.91
26,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,facebook,feed,desktop,3366,3484,40.475,160.32,49.78,72,88,39.54,1139.96,86.7,26.89
26,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,facebook,feed,mobile_app,11463,12069,375.695,659.43,47.19,402,564,32.12,1453.79,124.77,27.28
26,CGM_RISE_UP,Dexcom l | Mid-form Pixel,CGM Video Ad- Senior,7,2020,facebook,video_feeds,mobile_app,1793,1830,17.4,53.82,20.5,29,60,15.84,706.1,64.17,26.5
1,CGM_WELLSTART,Cure Type 1 Diabetes,CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_web,2,2,,0.03,,,0,,15,0,1
2,CGM_WELLSTART,Cure Type 1 Diabetes,CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,desktop,6,7,,0.11,0.1,1,2,0.05,26.67,33.33,2.2
2,CGM_WELLSTART,Cure Type 1 Diabetes,CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_app,22,27,,0.78,,,3,0.25,45,12,2.25
3,CGM_WELLSTART,Cure Type 1 Diabetes,CGM Video Ad - Lady Green Shirt,3,2020,instagram,feed,mobile_app,255,270,,4.54,3.68,1,1,3.68,68.92,0.44,3.1
7,CGM_WELLSTART,Medtronic| 1 Page Lander | CGM Product,CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,desktop,1052,1128,,31,18.08,12,16,12.84,208.87,8.68,7.44
7,CGM_WELLSTART,Medtronic| 1 Page Lander | CGM Product,CGM Video Ad - Lady Green Shirt,3,2020,instagram,feed,mobile_app,288,291,,8.26,2.95,6,6,2.95,193.84,10.62,7.08
7,CGM_WELLSTART,Medtronic| 1 Page Lander | CGM Product,CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_app,1652,1727,,72.39,29.83,25,62,9.65,304.65,24.75,7.25
7,CGM_WELLSTART,"ADA, Glucose Buddy, Insulin Index, Medtronic | 1 Page Lander | CGM Product",CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,desktop,1270,1311,,26.37,5.22,21,25,4.42,149.12,15.32,7.18
7,CGM_WELLSTART,"ADA, Glucose Buddy, Insulin Index, Medtronic | 1 Page Lander | CGM Product",CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_web,222,230,,4.6,1.75,4,6,1.64,120.14,15.47,7.2
7,CGM_WELLSTART,Medtronic| 1 Page Lander | CGM Product,CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_web,79,81,,2.55,0.17,1,7,1.03,240.81,53.28,7.13
7,CGM_WELLSTART,"ADA, Glucose Buddy, Insulin Index, Medtronic | 1 Page Lander | CGM Product",CGM Video Ad - Lady Green Shirt,3,2020,instagram,feed,mobile_app,120,122,,2.95,,,0,,185.32,0,7.16
8,CGM_WELLSTART,"ADA, Glucose Buddy, Insulin Index, Medtronic | 1 Page Lander | CGM Product",CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_app,2632,2710,,87.76,12.32,58,96,9.17,362.96,21.63,8.15
10,CGM_WELLSTART,"Remarketing: CGM Ad 1 | Short Lander | Insulin, Nutrition, Pancreas, Meal Prep | CGM Product",CGM Video Ad - Lady Green Shirt,3,2020,instagram,feed,mobile_app,39,42,,3.05,,,0,,729.76,0,10.28
10,CGM_WELLSTART,"Remarketing: CGM Ad 1 | Short Lander | Insulin, Nutrition, Pancreas, Meal Prep | CGM Product",CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_web,42,55,,2.18,0.14,1,1,0.14,592.36,20,11.42
12,CGM_WELLSTART,Abbott FreeStyle,CGM VIdeo Ad - Lady Green Shirt,3,2020,instagram,feed,mobile_app,83,86,,2.72,0.75,5,5,0.75,392.35,32.55,12.29
13,CGM_WELLSTART,Dexcom - Short Form Conversion (5.07),CGM Video Ad,3,2020,facebook,feed,mobile_app,14442,15068,,441.7,18.37,323,586,10.53,389.13,50.33,13.53
13,CGM_WELLSTART,Dexcom - Short Form Conversion (5.07),CGM Video Ad,3,2020,facebook,feed,mobile_web,1194,1271,,29.03,16.8,11,27,14.26,282.39,28.56,13.81
13,CGM_WELLSTART,Dexcom - Short Form Conversion (5.07),CGM Video Ad,3,2020,facebook,feed,desktop,7974,8410,,197.29,15.94,161,224,11.86,315.92,32.94,13.63
13,CGM_WELLSTART,Dexcom - Short Form Conversion (5.07),CGM Video Ad,3,2020,instagram,feed,mobile_app,656,661,,21.13,11.28,20,22,10.85,498.03,41.71,13.03
14,CGM_WELLSTART,Abbott FreeStyle,CGM VIdeo Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_web,105,121,,1.11,0.89,3,3,0.89,119.31,126.3,14.57
15,CGM_WELLSTART,Abbott FreeStyle,CGM VIdeo Ad - Lady Green Shirt,3,2020,facebook,feed,desktop,1140,1264,,28.47,6.55,29,38,5.8,382.63,49.41,15.59
15,CGM_WELLSTART,"Remarketing: CGM Ad 1 | Short Lander | Insulin, Nutrition, Pancreas, Meal Prep | CGM Product",CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,desktop,354,471,,26.27,10.97,7,10,6.82,643.51,20.99,17.25
15,CGM_WELLSTART,"Remarketing: CGM Ad 1 | Short Lander | Insulin, Nutrition, Pancreas, Meal Prep | CGM Product",CGM Video Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_app,558,755,1.23,47.76,6.66,20,31,4.7,688.78,144,16.64
15,CGM_WELLSTART,Abbott FreeStyle,CGM VIdeo Ad - Lady Green Shirt,3,2020,facebook,feed,mobile_app,1406,1619,27.55,34.61,3.94,38,74,3.46,292.98,54.95,16.27
1,CGM_WELLSTART,American Diabetes Association (Ex: Dexcom) | 350k Reach | CGM Green Lady,CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_web,22,23,,0.19,,,1,0.19,8.26,4.35,1.05
1,CGM_WELLSTART,Dexcom | 1 Page Lander | CGM Product (190k Reach) - Copy,CGM Video Ad - Lady Green Shirt,4,2020,instagram,feed,mobile_app,4,4,,0.11,,,0,,27.5,0,1
1,CGM_WELLSTART,Diabetes Interest Group | 1 Page Lander | CGM Product (150k Reach),CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_app,145,145,,3.48,1.16,3,3,1.16,24,2.07,1
1,CGM_WELLSTART,Diabetes mellitus awareness + Autoimmunity | 1 Page Lander | CGM Product,CGM Video Ad - Lady Green Shirt,4,2020,instagram,feed,mobile_app,29,29,,0.56,,,1,0.56,19.31,3.45,1
1,CGM_WELLSTART,"Lookalike (US, 1%) - CGM Lady Green Shirt Ad - 50% Video View",CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_app,126,126,,2.92,2.92,1,3,0.97,23.17,2.38,1
1,CGM_WELLSTART,American Diabetes Association (Ex: Dexcom) | 350k Reach | CGM Green Lady,CGM Video Ad - Lady Green Shirt,4,2020,instagram,feed,mobile_app,11,11,,0.2,,,0,,18.18,0,1
1,CGM_WELLSTART,Dexcom | 1 Page Lander | Senior Vid (190k Reach),CGM Video Ad- Senior,4,2020,facebook,feed,mobile_web,224,300,,9.09,1.82,5,12,0.76,30.3,4,1.34
1,CGM_WELLSTART,Dexcom | 1 Page Lander | CGM Product (190k Reach) - Copy 2,CGM Video Ad - Lady Green Shirt,4,2020,instagram,feed,mobile_app,1,1,,0.01,,,0,,10,0,1
1,CGM_WELLSTART,"Lookalike (US, 1%) - CGM Lady Green Shirt Ad - 50% Video View",CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_web,7,7,,0.48,,,0,,68.57,0,1
1,CGM_WELLSTART,Diabetes Interest Group | 1 Page Lander | CGM Product (150k Reach),CGM Video Ad - Lady Green Shirt,4,2020,instagram,feed,mobile_app,22,22,,0.23,,,0,,10.45,0,1
1,CGM_WELLSTART,Diabetes mellitus awareness + Autoimmunity | 1 Page Lander | CGM Product,CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_web,13,13,,0.16,,,0,,12.31,0,1
1,CGM_WELLSTART,Diabetes Interest Group | 1 Page Lander | CGM Product (150k Reach),CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_web,4,4,,0.36,,,0,,90,0,1
1,CGM_WELLSTART,Diabetes mellitus awareness + Autoimmunity | 1 Page Lander | CGM Product,CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_app,265,270,,6.07,2.02,3,3,2.02,22.48,1.11,1.02
1,CGM_WELLSTART,American Diabetes Association (Ex: Dexcom) | 350k Reach | CGM Green Lady,CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_app,218,222,,4.33,4.33,1,1,4.33,19.5,0.45,1.02
1,CGM_WELLSTART,Dexcom | 1 Page Lander | CGM Product (190k Reach) - Copy,CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_app,149,150,,4.93,2.47,2,3,1.64,32.87,2,1.01
1,CGM_WELLSTART,"Lookalike (US, 1%) - CGM Lady Green Shirt Ad - 50% Video View",CGM Video Ad - Lady Green Shirt,4,2020,instagram,feed,mobile_app,25,25,,0.34,,,0,,13.6,0,1
1,CGM_WELLSTART,Dexcom | 1 Page Lander | CGM Product (190k Reach) - Copy 2,CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_web,3,3,,0.05,,,0,,16.67,0,1
1,CGM_WELLSTART,Dexcom | 1 Page Lander | CGM Product (190k Reach) - Copy,CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_web,3,3,,0.04,0.04,1,1,0.04,13.33,33.33,1
1,CGM_WELLSTART,Dexcom | 1 Page Lander | CGM Product (190k Reach) - Copy 2,CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_app,35,35,,0.49,0.49,1,1,0.49,14,2.86,1
2,CGM_WELLSTART,Diabetes Awareness Ribbon (Ex: Dexcom) | Senior Video,CGM Video Ad - Lady Green Shirt,4,2020,instagram,feed,mobile_app,18,18,,0.12,,,0,,13.5,0,2
2,CGM_WELLSTART,Diabetes mellitus awareness | 1 Page Lander | CGM Product,CGM Video Ad - Lady Green Shirt,4,2020,facebook,feed,mobile_app,10726,11106,,255.32,5.11,102,203,2.5,46.27,3.7,2.06
